Questpack,Rotation,Name,Location,Questgiver,Time in seconds A,Time in seconds B,Time Assessment,Mob Type/s,Mobs to Kill,Objectives To Click,,Details,Advice,Bugs,Other,Twist,Delving Enabled,Difficulty (Duo T6),Difficulty (Solo T6),,Difficulty (Duo T12),Difficulty (Solo T12)
Before The Shadow,"3, 5, 7",Mission: Siege of Sírlond,Gerwyn Convoy (Andrath),,430,,Quick-Medium,Orcs,,,,,"Must survive for ~7 mins, then find scout. Scout doesn't spawn until a certain number of mobs are killed. Insane number of mobs will aggro.",,,,yes,,,,Hard-Impossible,Hard-Impossible
Before The Shadow,"3, 5, 7",Mission: Stirring of Spirits,Gerwyn Convoy (Andrath),,60,,Quick-Medium,Spirits,,,,,"Reach top of stairs and kill boss. Be careful when you go up initial stairs, mobs aggro on either side, so can pull too much.",,,,yes,,,,Easy-Medium,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: The Tearful Tomb,Gerwyn Convoy (Andrath),,90,,Quick,Goblins,,,,,"Defeat Blogmal gang-leader. He's at bottom (stairs on right). Can avoid most mobs on Variant A, but need 3-4 pulls on Variant B.",,,,yes,,,,Easy,
Before The Shadow,"3, 5, 7",Mission: The Tombs of Gond Orchal,Gerwyn Convoy (Andrath),,150,,Quick,Wights,,,,,"All solo pulls, very spread apart, easy to do as a result.",,,,yes,,,,Easy,Easy
Before The Shadow,"3, 5, 7",Mission: A Plague of Men,Herne,,205,,Long,Brigands,,,,,"Lots of pathers, can get bad pulls if not careful. Can pull some single pathers.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Bite the Hand,Herne,,70,,Quick,Uruks,,,,,"2 mobs per pull, mobs don't spawn new mobs on kill. Puddle does small damage.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: Sifting Through Time,Herne,,150,,Quick,Uruks,,,,,"Kill mobs, collect things. More mobs than necessary. Usually 1 mob per pull. Uruks (no summons on death on Variant B)",,,,yes,,,,Easy,
Before The Shadow,"3, 5, 7",Mission: Tharbad Tower Ascent,Herne,,105,,Quick,Orcs,,,,,Find and kill commander (he's upstairs in back on right). He's not the captain. Pulling commander pulls nearby group. Can just kill him and leave.,,,,yes,,,,Easy-Medium,
Before The Shadow,"3, 5, 7",Mission: Tharbad Tower Courtyard,Herne,,80,,Quick,Uruks,,,,,"Must kill everything in courtyard, including captain, before scout appears.",,,,yes,,,,Easy,Easy-Medium
Before The Shadow,"3, 5, 7",Mission: A Day on the Farm,Clégur,,150,,Long,"Shrews, Crebain",,,,,"First part is easy, single mob pulls. When you click final burrow, crebain spawn, so you get 3 crebain + 1 shrew. Must kill 3 more sets of 3 crebain.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Among the Watch-towers,Clegur,,240,,Medium,Brigands,,,,,"Burn towers, must kill mobs around them.",,,,yes,,,,Easy-Medium,
Before The Shadow,"3, 5, 7",Mission: Dangerous Deliveries,Clégur,,170,,Medium-Long,Brigands,,,,,"Deliver 2 pies (quest/pie is a lie), kill 4-5 pulls of brigands, 15 total, 3-4 per pull. Can be hard to move around on platforms.",,,,yes,,,,Medium,
Before The Shadow,"3, 5, 7",Mission: Mother of Wolves,Clégur,,110,,Quick,Wolves,,,,,Kill 15 wolves and 1 boss. Can get a bad pull of two waves. Waves are 2-3 mobs. Must kill all mobs.,,,,yes,,,,Easy-Medium,
Erebor,,,,,,,,,,,,,,,,,,,,,,
Erebor,Always available,Mission: Trinkets of the Lost Garrison,Erebor,,80,,,,14,0,,,,,,Twist: Raging,,- No Delving -,,,,
Erebor,Always available,Mission: Trouble at the High Crag,Erebor,,110,,,,12,1,,,,,,Twist: Crushing,,- No Delving -,,,,
Erebor,Always available,Mission: Respite in Zarkul-sulûn,Erebor,,120,,,,8,8,,,,,,Twist: Sacrificial,,- No Delving -,,,,
Erebor,Always available,Mission: Keepers of the Narrow Way,Erebor,,120,,,,12,1,,,,,,Twist: Burning Shield,,- No Delving -,,,,
Erebor,Always available,Mission: Standards of Khazad-dûm,Erebor,,120,,,,12,12,,,,,,Twist: Raging,,- No Delving -,,,,
Erebor,Always available,Mission: Enemies at the East-gate,Erebor,,140,,,,15,0,,,,,,Twist: Gated,,- No Delving -,,,,
Erebor,Always available,Mission: Wrath of the Frost-heart,Erebor,,140,,,,15,6,,,,,,Twist: Hrímil's Chosen,,- No Delving -,,,,
Erebor,Always available,Mission: Defilers in the Dale,Erebor,,210,,,,15,6,,,,,,Twist: Shared Corruption,,- No Delving -,,,,
Erebor,Always available,Mission: Claws of Gabilshathûr,Erebor,,230,,,,15,8,,,,,,Twist: Surprise Attack,,- No Delving -,,,,
Erebor,Always available,Mission: Securing the Redhorn,Erebor,,255,,,,25,4,,,,,,Twist: Reinforcements,,- No Delving -,,,,
Gundabad,,,,,,,,,,,,,,,,,,,,,,
Gundabad,5,Mission: Stomping Stûg-and-Zar,Hall of Vernozal,,90,160,Short,,10,0,,,,,,Twist: Lieutenant of Gorgar,,,,,,
Gundabad,6,Mission: Culling the Rot,Hall of Vernozal,,100,200,Short,,15,0,,,,,,Twist: Shared Corruption,,,,,,
Gundabad,1,Mission: Unwelcome Guests,Hall of Vernozal,,120,195,Short,,10,5,,,,,,Twist: Lieutenant of Gorgar,,,,,,
Gundabad,4,Mission: Servants of Throkhâr,Hall of Vernozal,,135,255,Short-Medium,,15,10,,,,,,Twist: Sacrificial,,,,,,
Gundabad,2,Mission: Reforge the Future,Hall of Vernozal,,150,270,Short-Medium,,12,8,,,,,,Twist: Hrímil's Chosen,,,,,,
Gundabad,3,Mission: The Sorceress of Tûr Ágal,Hall of Vernozal,,155,225,Short,,10,1,,,,,,Twist: Illusionist,,,,,,
Gundabad,5,Mission: Hall of Ice,Hall of Vernozal,,180,330,Medium,,15,10,,,,,,Twist: Persistent Cold,,,,,,
Gundabad,2,Mission: Breeders of Beasts,Hall of Vernozal,,180,285,Short-Medium,,20,10,,,,,,Twist: Poison,,,,,,
Gundabad,3,Mission: Storm Swept,Hall of Vernozal,,185,315,Medium,,12,10,,,,,,Twist: Crushing,,,,,,
Gundabad,1,Mission: Just Beyond Reach,Hall of Vernozal,,195,285,Short-Medium,,15,4,,,,,,Twist: Gated,,,,,,
Gundabad,2,Mission: Ritual of Sacrifice,Hall of Vernozal,,205,420,Medium-Long,,40,0,,,,,,Twist: Sacrificial,,,,,,
Gundabad,4,Mission: Siege of the Rift,Hall of Vernozal,,225,410,Medium-Long,,30,0,,,,,,Twist: Burning Shield,,,,,,
Gundabad,3,Mission: Drive a Wedge,Hall of Vernozal,,240,340,Medium,,15,10,,,,,,Twist: Hrímil's Chosen,,,,,,
Gundabad,5,Mission: In the Trenches,Hall of Vernozal,,240,300,Medium,,15,10,,,,,,Twist: Never-ending,,,,,,
Gundabad,1,Mission: King of Claws,Hall of Vernozal,,240,375,Medium,,20,12,,,,,,Twist: Poison,,,,,,
Gundabad,2,Mission: Buried but Not Forgotten,Hall of Vernozal,,240,405,Medium-Long,,20,11,,,,,,Twist: Traps,,,,,,
Gundabad,5,Mission: The Lost Vault,Hall of Vernozal,,240,300,Medium ,,20,10,,,Puzzle,,,Twist: Puzzle,,,,,,
Gundabad,4,Mission: Lay to Rest,Hall of Vernozal,,240,340,Medium,,50,10,,,,,,Twist: Never-ending,,,,,,
Gundabad,5,Mission: Sting like a Grodbog,Hall of Vernozal,,250,440,Long,,25,10,,,,,,Twist: Poison,,,,,,
Gundabad,6,Mission: Clearing a Path,Hall of Vernozal,,260,445,Long,,15,8,,,,,,Twist: Raging,,,,,,
Gundabad,1,Mission: The High Dig,Hall of Vernozal,,270,435,Long,,15,20,,,,,,Twist: Traps,,,,,,
Gundabad,2,Mission: Cave In!,Hall of Vernozal,,270,285,Short-Medium,,25,18,,,,,,Twist: Timed!,,,,,,
Gundabad,6,Mission: Assault on Dûn Traikh,Hall of Vernozal,,270,445,Long,,30,15,,,,,,Twist: Inspiring Presence,,,,,,
Gundabad,6,Mission: A Large Problem,Hall of Vernozal,,285,405,Medium-Long,,20,20,,,,,,Twist: Reinforcements,,,,,,
Gundabad,3,Mission: Gold Rush,Hall of Vernozal,,300,345,Medium,,5,18,,,,,,Twist: Timed!,,,,,,
Gundabad,1,Mission: The Flooded Depths,Hall of Vernozal,,300,600,Very Long,,20,12,,,,,,Twist: Shared Corruption,,,,,,
Gundabad,3,Mission: Crystal Conundrum,Hall of Vernozal,,300,450,Long,,20,12,,,,,,Twist: Never-ending,,,,,,
Gundabad,3,Mission: Wonder of the Deep,Hall of Vernozal,,300,550,Very Long,,40,12,,,,,,Twist: Never-ending,,,,,,
Gundabad,6,Mission: Drakes Up Above,Hall of Vernozal,,330,425,Medium-Long,,30,30,,,,,,Twist: Surprise Attack,,,,,,
Gundabad,1,Mission: A Lost Expedition,Hall of Vernozal,,375,540,Very Long,,25,10,,,Lost,,,Twist: Persistent Cold,,,,,,
Gundabad,6,Mission: Darkness in the Mist,Hall of Vernozal,,420,480,Long,,20,0,,,Defend,,,Twist: Persistent Cold,,,,,,
Gundabad,2,Mission: Frosty Reception,Hall of Vernozal,,570,560,Very Long,,40,16,,,,,,Twist: Hrímil's Chosen,,,,,,
Gundabad,4,Mission: Captive Wings,Hall of Vernozal,,570,480,Long,,50,10,,,,,,Twist: Traps,,,,,,
Gundabad,5,Mission: Stepping into the Drearspire,Hall of Vernozal,,600,490,Long,,30,10,,,,,,Twist: Reinforcements,,,,,,
Gundabad,4,Mission: Raging Frost,Hall of Vernozal,,615,450,Long,,12,8,,,Junk,,,Twist: Raging,,,,,,
Gundabad,4,Mission: The Foregone Trap,Hall of Vernozal,,1000,1020,Short-Long,,X,X,,,X,,,Twist: Puzzle,,,,,,
Gundabad,3,Mission: The Flow of Water,Hall of Vernozal,,,465,Long,,X,X,,,,,,Twist: Gated,,,,,,
Further Adventures Bilbo,,,,,,,,,,,,,,,,,,,,,,
Further Adventures,Always available,"01. The Further Adventures of Bilbo Baggins, Chapter 1",Rivendell,,,140,,,0,0,0,,,,,Twist: Inspiring Presence,no,- No Delving -,,,,
Further Adventures,Always available,"02. The Further Adventures of Bilbo Baggins, Chapter 2",Rivendell,,,250,,,30,0,30,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Further Adventures,Always available,"03. The Further Adventures of Bilbo Baggins, Chapter 3",Rivendell,,,210,,,15,0,15,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures,Always available,"04. The Further Adventures of Bilbo Baggins, Chapter 4",Rivendell,,,190,,,30,0,30,,,,,Twist: Raging,no,- No Delving -,,,,
Further Adventures,Always available,"05. The Further Adventures of Bilbo Baggins, Chapter 5",Rivendell,,,140,,,15,0,15,,,,,None,no,- No Delving -,,,,
Further Adventures,Always available,"06. The Further Adventures of Bilbo Baggins, Chapter 6",Rivendell,,,150,,,15,0,15,,,,,Twist: Never-ending,no,- No Delving -,,,,
Further Adventures,Always available,"07. The Further Adventures of Bilbo Baggins, Chapter 7",Rivendell,,,100,,,0,1,1,,,,,Twist: Gated,no,- No Delving -,,,,
Further Adventures,Always available,"08. The Further Adventures of Bilbo Baggins, Chapter 8",Rivendell,,,75,,,4,3,7,,,,,Twist: Crushing,no,- No Delving -,,,,
Further Adventures,Always available,"09. The Further Adventures of Bilbo Baggins, Chapter 9",Rivendell,,,190,,,10,1,11,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures,Always available,"10. The Further Adventures of Bilbo Baggins, Chapter 10",Rivendell,,,460,,,8,0,8,,,,,Twist: Surprise Attack,no,- No Delving -,,,,
Further Adventures E&E,,,,,,,,,,,,,,,,,,,,,,
Further Adventures E&E,Always available,"01. The Further Adventures of Elladan and Elrohir, Chapter 1","Rivendell, Last Homely House",,,180,,,,,,,,,,Twist: Sacrificial,no,- No Delving -,,,,
Further Adventures E&E,Always available,"02. The Further Adventures of Elladan and Elrohir, Chapter 2",,,,205,,,,,,,,,,Twist: Crushing,no,- No Delving -,,,,
Further Adventures E&E,Always available,"03. The Further Adventures of Elladan and Elrohir, Chapter 3",,,,435,,,,,,,,,,Twist: Persistent Cold,no,- No Delving -,,,,
Further Adventures E&E,Always available,"04. The Further Adventures of Elladan and Elrohir, Chapter 4",,,,255,,,,,,,,,,Twist: Reinforcements,no,- No Delving -,,,,
Further Adventures E&E,Always available,"05. The Further Adventures of Elladan and Elrohir, Chapter 5",,,,315,,,,,,,,,,Twist: Shared Corruption,no,- No Delving -,,,,
Elderslade,,,,,,,,,,,,,,,,,,,,,,
Elderslade,7,Mission: A Chill on the Gladdenmere,,,50,45,,,10,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,4,Mission: A Frosty Reception,,,125,150,,,10,4,,,,,,Twist: Crushing,yes,,,,,
Elderslade,7,Mission: A Glutton in the Larder,,,45,45,,,10,0,,,,,,Twist: Inspiring Presence,yes,,,,,
Elderslade,3,Mission: A New Clutch,,,110,115,,,10,10,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,3,Mission: A Taste for Battle,,,170,175,,,25,10,,,,,,Twist: Surprise Attack,yes,,,,,
Elderslade,6,Mission: Abandoned Supplies,,,180,185,,,15,12,,,,,,Twist: Raging,yes,,,,,
Elderslade,4,Mission: Aiding the Bridge Builders,,,320,325,,,20,0,,,Defend timer,,,Twist: Raging,yes,,,,,
Elderslade,7,Mission: An Agelong Theft,,,80,70,,,14,0,,,,,,Twist: Raging,yes,,,,,
Elderslade,7,Mission: An Assault of Frost,,,85,95,,,10,0,,,,,,Twist: Hrímil's Chosen,yes,,,,,
Elderslade,1,Mission: Archers at the Gate,,,80,95,,,14,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,2,Mission: Area of Interest,,,220,195,,,10,10,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,5,Mission: Assault on Ashmâr-zarakh,,,70,70,,,15,4,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,7,Mission: Beasts From the Hills,,,110,90,,,11,0,,,,,,Twist: Crushing,yes,,,,,
Elderslade,1,Mission: Blockade at Glimmerdeep,,,90,90,,,8,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,1,Mission: Blockade on the High Pass,,,175,170,,,30,10,,,,,,Twist: Sacrificial,yes,,,,,
Elderslade,6,Mission: Breaking Bekâr-zarakh,,,80,65,,,15,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,2,Mission: Burrowers by the Hadhodiant,,,150,120,,,14,4,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,3,Mission: Collapsing the Old Paths,,,210,200,,,25,0,,,,,,Twist: Never-ending,no,- No Delving -,,,,
Elderslade,7,Mission: Den of the Frost-bound,,,50,70,,,10,0,,,,,,Twist: Reinforcements,yes,,,,,
Elderslade,1,Mission: Dourhands in the Deep,,,170,175,,,22,0,,,,,,Twist: Shared Corruption,yes,,,,,
Elderslade,6,Mission: Emissary at the Goblin-gate,,,100,90,,,10,0,,,,,,Twist: Lieutenant of Gorgar,yes,,,,,
Elderslade,2,Mission: Engines of Flesh and Stone,,,80,85,,,10,0,,,,,,Twist: Crushing,yes,,,,,
